entity,type,time,sentiment,score,company,channel
oooooooooooooooooooooooooooooooooooooooooooooooooooooo,PRODUCT,2021-08-28,5 stars,5,spacex,tweet
battlestar galactica,WORK_OF_ART,2021-08-03,4 stars,4,spacex,tweet
saturn,PRODUCT,2021-08-03,1 star,1,spacex,tweet
first,ORDINAL,2021-08-03,5 stars,5,spacex,tweet
spacex,PERSON,2021-08-03,5 stars,5,spacex,tweet
doge eth rad,ORG,2021-07-28,5 stars,5,spacex,tweet
100th,ORDINAL,2021-07-28,5 stars,5,spacex,tweet
gt ,PERSON,2021-07-28,5 stars,5,spacex,tweet
c0 ns,PERSON,2021-07-27,5 stars,5,spacex,tweet
dec0de,ORG,2021-07-27,5 stars,5,spacex,tweet
zach,PERSON,2021-07-29,1 star,1,spacex,tweet
europa,LOC,2021-07-23,5 stars,5,spacex,tweet
sadbaby,ORG,2021-07-23,1 star,1,spacex,tweet
third,ORDINAL,2021-07-23,2 stars,2,spacex,tweet
nasa,ORG,2021-07-23,5 stars,5,spacex,tweet
spacex,PERSON,2021-07-23,5 stars,5,spacex,tweet
about 2 billion,MONEY,2021-07-23,5 stars,5,spacex,tweet
moon,PERSON,2021-07-22,4 stars,4,spacex,tweet
lanceria lanc,PERSON,2021-07-22,4 stars,4,spacex,tweet
doge coin,ORG,2021-07-21,5 stars,5,spacex,tweet
us,GPE,2021-07-21,1 star,1,spacex,tweet
billions of ,MONEY,2021-07-21,1 star,1,spacex,tweet
germany,GPE,2021-07-21,1 star,1,spacex,tweet
first,ORDINAL,2021-07-21,3 stars,3,spacex,tweet
moon,PERSON,2021-07-20,5 stars,5,spacex,tweet
sadbaby,ORG,2021-07-20,5 stars,5,spacex,tweet
einstein,PERSON,2021-07-20,3 stars,3,spacex,tweet
mars,LOC,2021-07-20,5 stars,5,spacex,tweet
super heavy,ORG,2021-07-20,5 stars,5,spacex,tweet
televise love spacex,PRODUCT,2021-07-10,5 stars,5,spacex,tweet
livestream,ORG,2021-07-10,5 stars,5,spacex,tweet
sooo fake,PERSON,2021-07-07,1 star,1,spacex,tweet
the tell a vision,ORG,2021-07-07,1 star,1,spacex,tweet
spacex,PERSON,2021-06-30,5 stars,5,spacex,tweet
ohio,GPE,2021-06-30,5 stars,5,spacex,tweet
starlink,ORG,2021-06-30,5 stars,5,spacex,tweet
starship  also,ORG,2021-06-30,5 stars,5,spacex,tweet
jadore tellement,PERSON,2021-06-30,5 stars,5,spacex,tweet
par,ORG,2021-06-30,5 stars,5,spacex,tweet
spacex,ORG,2021-06-30,5 stars,5,spacex,tweet
spacex,ORG,2021-06-30,3 stars,3,spacex,tweet
nasa,ORG,2021-06-30,5 stars,5,spacex,tweet
mars,LOC,2021-06-30,5 stars,5,spacex,tweet
mars elon,PRODUCT,2021-06-30,5 stars,5,spacex,tweet
jon marianek,PERSON,2021-06-30,5 stars,5,spacex,tweet
jake paul s,PERSON,2021-06-30,5 stars,5,spacex,tweet
earth,LOC,2021-06-30,2 stars,2,spacex,tweet
doge,PRODUCT,2021-06-30,1 star,1,spacex,tweet
american,NORP,2021-06-30,5 stars,5,spacex,tweet
first,ORDINAL,2021-07-01,2 stars,2,spacex,tweet
tesla,ORG,2021-07-01,2 stars,2,spacex,tweet
jmh,ORG,2021-07-01,2 stars,2,spacex,tweet
fsd spacex,ORG,2021-07-01,2 stars,2,spacex,tweet
fsd tesla,ORG,2021-07-01,2 stars,2,spacex,tweet
spacex,ORG,2021-06-30,5 stars,5,spacex,tweet
jeff bezos,PERSON,2021-06-29,1 star,1,spacex,tweet
pafb,ORG,2021-06-29,2 stars,2,spacex,tweet
jetty park,FAC,2021-06-30,1 star,1,spacex,tweet
dis,ORG,2021-06-29,1 star,1,spacex,tweet
floki,PERSON,2021-06-29,4 stars,4,spacex,tweet
don,PERSON,2021-06-29,5 stars,5,spacex,tweet
dojo,ORG,2021-06-29,5 stars,5,spacex,tweet
sweet,PERSON,2021-06-29,5 stars,5,spacex,tweet
mooooon,ORG,2021-06-25,5 stars,5,spacex,tweet
stars,WORK_OF_ART,2021-06-24,4 stars,4,spacex,tweet
doge,PRODUCT,2021-06-24,1 star,1,spacex,tweet
shouldn,NORP,2021-06-24,1 star,1,spacex,tweet
spacex,ORG,2021-06-24,5 stars,5,spacex,tweet
mars,LOC,2021-06-22,1 star,1,spacex,tweet
don,PERSON,2021-06-22,1 star,1,spacex,tweet
faa,ORG,2021-06-22,1 star,1,spacex,tweet
starlink,ORG,2021-06-22,3 stars,3,spacex,tweet
transporter,PERSON,2021-06-22,5 stars,5,spacex,tweet
sn,ORG,2021-06-22,5 stars,5,spacex,tweet
iron man,PERSON,2021-06-22,1 star,1,spacex,tweet
svt,ORG,2021-06-22,4 stars,4,spacex,tweet
dogecoin,PERSON,2021-06-21,3 stars,3,spacex,tweet
as high as,PERCENT,2021-06-21,4 stars,4,spacex,tweet
smc engineering,ORG,2021-06-21,5 stars,5,spacex,tweet
smc,ORG,2021-06-24,5 stars,5,spacex,tweet
smc amazing,ORG,2021-06-21,5 stars,5,spacex,tweet
nasa,ORG,2021-06-21,5 stars,5,spacex,tweet
team at space x,ORG,2021-06-21,5 stars,5,spacex,tweet
musk,PERSON,2021-06-21,5 stars,5,spacex,tweet
smc,ORG,2021-06-21,5 stars,5,spacex,tweet
smc,ORG,2021-06-21,5 stars,5,spacex,tweet
sci fi,ORG,2021-06-21,5 stars,5,spacex,tweet
smc,ORG,2021-06-21,5 stars,5,spacex,tweet
second,ORDINAL,2021-06-17,4 stars,4,spacex,tweet
second,ORDINAL,2021-06-17,2 stars,2,spacex,tweet
smc fantastic,ORG,2021-06-17,5 stars,5,spacex,tweet
amazing,ORG,2021-06-17,5 stars,5,spacex,tweet
smc,ORG,2021-06-17,5 stars,5,spacex,tweet
smc,ORG,2021-06-17,1 star,1,spacex,tweet
smc,ORG,2021-06-17,1 star,1,spacex,tweet
spacex,ORG,2021-06-17,5 stars,5,spacex,tweet
americans,NORP,2021-06-17,5 stars,5,spacex,tweet
dogeeeeeeeee,ORG,2021-06-18,3 stars,3,spacex,tweet
netflix,ORG,2021-06-20,2 stars,2,spacex,tweet
ada,ORG,2021-06-20,2 stars,2,spacex,tweet
amazon,ORG,2021-06-20,2 stars,2,spacex,tweet
cryptocurrencies innovation,ORG,2021-06-20,2 stars,2,spacex,tweet
airbnb,ORG,2021-06-20,2 stars,2,spacex,tweet
don,PERSON,2021-06-20,2 stars,2,spacex,tweet
really awesome,PERSON,2021-06-18,5 stars,5,spacex,tweet
spacex,ORG,2021-06-18,5 stars,5,spacex,tweet
second,ORDINAL,2021-06-17,1 star,1,spacex,tweet
gps,ORG,2021-06-17,2 stars,2,spacex,tweet
moooon,ORG,2021-06-17,5 stars,5,spacex,tweet
mars,LOC,2021-06-17,1 star,1,spacex,tweet
earth,LOC,2021-06-17,1 star,1,spacex,tweet
daytona beach,GPE,2021-06-17,5 stars,5,spacex,tweet
smc,ORG,2021-06-17,1 star,1,spacex,tweet
first,ORDINAL,2021-06-17,5 stars,5,spacex,tweet
spacex,ORG,2021-06-17,5 stars,5,spacex,tweet
smc,ORG,2021-06-17,5 stars,5,spacex,tweet
space force,ORG,2021-06-17,5 stars,5,spacex,tweet
smc,ORG,2021-06-17,1 star,1,spacex,tweet
lockheed,ORG,2021-06-17,1 star,1,spacex,tweet
smc,ORG,2021-06-17,1 star,1,spacex,tweet
smc super,ORG,2021-06-17,5 stars,5,spacex,tweet
smc,ORG,2021-06-17,3 stars,3,spacex,tweet
jeff bezos blue origin,ORG,2021-06-06,5 stars,5,spacex,tweet
ula,PERSON,2021-06-09,3 stars,3,spacex,tweet
second,ORDINAL,2021-06-09,3 stars,3,spacex,tweet
bcz,ORG,2021-06-06,3 stars,3,spacex,tweet
doge 1 for,LAW,2021-06-06,1 star,1,spacex,tweet
second,ORDINAL,2021-06-06,1 star,1,spacex,tweet
first,ORDINAL,2021-06-06,2 stars,2,spacex,tweet
jajajajajajajaja,PERSON,2021-06-06,1 star,1,spacex,tweet
elon,ORG,2021-06-06,3 stars,3,spacex,tweet
tampa,GPE,2021-06-06,1 star,1,spacex,tweet
spacex,ORG,2021-06-06,5 stars,5,spacex,tweet
vandenberg space force base,FAC,2021-06-06,4 stars,4,spacex,tweet
spacex,PERSON,2021-06-05,1 star,1,spacex,tweet
station elon s,ORG,2021-06-05,1 star,1,spacex,tweet
mark,PERSON,2021-06-05,3 stars,3,spacex,tweet
elon,ORG,2021-06-04,4 stars,4,spacex,tweet
station elon,ORG,2021-06-04,4 stars,4,spacex,tweet
nft,ORG,2021-06-04,4 stars,4,spacex,tweet
nasa,ORG,2021-06-18,4 stars,4,spacex,tweet
doge,PERSON,2021-06-04,1 star,1,spacex,tweet
elon,ORG,2021-06-04,1 star,1,spacex,tweet
utc,ORG,2021-06-04,3 stars,3,spacex,tweet
spacex,ORG,2021-06-03,5 stars,5,spacex,tweet
18th,ORDINAL,2021-06-03,5 stars,5,spacex,tweet
f9,ORG,2021-06-03,5 stars,5,spacex,tweet
mars,LOC,2021-06-04,3 stars,3,spacex,tweet
isaac asimov,PERSON,2021-06-03,5 stars,5,spacex,tweet
space stimulations,ORG,2021-06-04,1 star,1,spacex,tweet
spacex team go falcon,ORG,2021-06-03,5 stars,5,spacex,tweet
doge,ORG,2021-06-03,5 stars,5,spacex,tweet
nasa,ORG,2021-06-03,5 stars,5,spacex,tweet
booster,ORG,2021-06-03,5 stars,5,spacex,tweet
artik kodugumunun roketini,ORG,2021-06-03,1 star,1,spacex,tweet
la,PERSON,2021-06-03,1 star,1,spacex,tweet
dogecoin,PERSON,2021-06-03,5 stars,5,spacex,tweet
moon,PERSON,2021-06-03,5 stars,5,spacex,tweet
dogecoin,PERSON,2021-06-03,1 star,1,spacex,tweet
kubricks 2001 a,ORG,2021-06-05,4 stars,4,spacex,tweet
dogecoin,GPE,2021-06-03,1 star,1,spacex,tweet
tesla,ORG,2021-06-03,1 star,1,spacex,tweet
us,GPE,2021-06-03,1 star,1,spacex,tweet
shiba inu,ORG,2021-06-02,5 stars,5,spacex,tweet
doug little rabbit,PERSON,2021-06-01,4 stars,4,spacex,tweet
doug look,PERSON,2021-05-30,5 stars,5,spacex,tweet
doug,PERSON,2021-05-30,5 stars,5,spacex,tweet
doug dear elon,PERSON,2021-05-30,5 stars,5,spacex,tweet
doug,PERSON,2021-05-30,4 stars,4,spacex,tweet
doug,PERSON,2021-05-30,1 star,1,spacex,tweet
doug doge,PERSON,2021-05-31,5 stars,5,spacex,tweet
doug,PERSON,2021-05-31,5 stars,5,spacex,tweet
doge,ORG,2021-05-31,5 stars,5,spacex,tweet
doug anniversary,PERSON,2021-05-31,5 stars,5,spacex,tweet
doug unbelievable amazing,PERSON,2021-05-31,5 stars,5,spacex,tweet
starlink,ORG,2021-05-26,5 stars,5,spacex,tweet
starlink,ORG,2021-05-26,5 stars,5,spacex,tweet
100th,ORDINAL,2021-05-26,5 stars,5,spacex,tweet
falcon 9,ORG,2021-05-26,5 stars,5,spacex,tweet
isaac asimov,PERSON,2021-05-26,5 stars,5,spacex,tweet
falcon,ORG,2021-05-26,5 stars,5,spacex,tweet
85th,ORDINAL,2021-05-26,5 stars,5,spacex,tweet
science,ORG,2021-05-26,5 stars,5,spacex,tweet
starlink,ORG,2021-05-26,3 stars,3,spacex,tweet
moooon,PERSON,2021-05-26,5 stars,5,spacex,tweet
f9,ORG,2021-05-26,5 stars,5,spacex,tweet
spacex,ORG,2021-05-26,5 stars,5,spacex,tweet
fuuuuucccckkkyyyeeaaaahhh,NORP,2021-05-26,5 stars,5,spacex,tweet
raf,ORG,2021-05-27,3 stars,3,spacex,tweet
nasa,ORG,2021-05-26,5 stars,5,spacex,tweet
mooooooon,ORG,2021-05-25,5 stars,5,spacex,tweet
ksc,ORG,2021-05-25,3 stars,3,spacex,tweet
vs,PRODUCT,2021-05-16,5 stars,5,spacex,tweet
starlink,ORG,2021-05-16,1 star,1,spacex,tweet
starlink,ORG,2021-05-16,4 stars,4,spacex,tweet
doge doggy coin,PERSON,2021-05-16,1 star,1,spacex,tweet
bullseye,ORG,2021-05-15,5 stars,5,spacex,tweet
falcon,ORG,2021-05-15,5 stars,5,spacex,tweet
80th,ORDINAL,2021-05-15,5 stars,5,spacex,tweet
8th,ORDINAL,2021-05-15,5 stars,5,spacex,tweet
don,PERSON,2021-05-16,3 stars,3,spacex,tweet
doge,ORG,2021-05-15,5 stars,5,spacex,tweet
doge 1 mission putting,PERSON,2021-05-15,1 star,1,spacex,tweet
starlink,GPE,2021-05-15,1 star,1,spacex,tweet
nasa,ORG,2021-05-15,3 stars,3,spacex,tweet
first,ORDINAL,2021-05-17,5 stars,5,spacex,tweet
elon,PERSON,2021-05-16,1 star,1,spacex,tweet
tesla coin or,ORG,2021-05-16,1 star,1,spacex,tweet
american,NORP,2021-05-15,1 star,1,spacex,tweet
bitcoin,ORG,2021-05-15,3 stars,3,spacex,tweet
uk,GPE,2021-05-15,5 stars,5,spacex,tweet
shampoo,ORG,2021-05-14,5 stars,5,spacex,tweet
first,ORDINAL,2021-05-14,5 stars,5,spacex,tweet
spacex doge 1,PERSON,2021-05-14,5 stars,5,spacex,tweet
shiba inu coin,ORG,2021-05-14,5 stars,5,spacex,tweet
elon,ORG,2021-05-15,1 star,1,spacex,tweet
ama,ORG,2021-05-14,1 star,1,spacex,tweet
salir de la tierra este paraiso es obra de dios dejen de,ORG,2021-05-10,5 stars,5,spacex,tweet
puesto como proteccion el hombre,PERSON,2021-05-10,5 stars,5,spacex,tweet
jamas podra,PERSON,2021-05-10,5 stars,5,spacex,tweet
lo destruye,PERSON,2021-05-10,5 stars,5,spacex,tweet
lo que esta,PERSON,2021-05-10,5 stars,5,spacex,tweet
drm,PERSON,2021-05-09,1 star,1,spacex,tweet
earth,LOC,2021-05-09,4 stars,4,spacex,tweet
starlink,ORG,2021-05-09,5 stars,5,spacex,tweet
hawthorne,GPE,2021-05-09,1 star,1,spacex,tweet
11th,ORDINAL,2021-05-09,1 star,1,spacex,tweet
china,GPE,2021-05-09,1 star,1,spacex,tweet
china,GPE,2021-05-09,1 star,1,spacex,tweet
b1061 10 ,ORG,2021-05-09,1 star,1,spacex,tweet
falcon,ORG,2021-05-09,1 star,1,spacex,tweet
shelia bordelon,PERSON,2021-05-09,1 star,1,spacex,tweet
scoop,PRODUCT,2021-05-09,1 star,1,spacex,tweet
toooo theeee mooon,PERSON,2021-05-09,3 stars,3,spacex,tweet
spacex,ORG,2021-05-09,5 stars,5,spacex,tweet
spacex,ORG,2021-05-06,5 stars,5,spacex,tweet
elon,PERSON,2021-05-06,5 stars,5,spacex,tweet
spacex,ORG,2021-05-06,5 stars,5,spacex,tweet
dogefamily,ORG,2021-05-06,5 stars,5,spacex,tweet
spacex,ORG,2021-05-07,4 stars,4,spacex,tweet
falcon 9,WORK_OF_ART,2021-05-04,5 stars,5,spacex,tweet
second,ORDINAL,2021-05-04,5 stars,5,spacex,tweet
b1049,PERSON,2021-05-04,5 stars,5,spacex,tweet
82nd,ORDINAL,2021-05-04,5 stars,5,spacex,tweet
ninth,ORDINAL,2021-05-04,5 stars,5,spacex,tweet
spacex,ORG,2021-05-04,5 stars,5,spacex,tweet
falcon,ORG,2021-05-04,5 stars,5,spacex,tweet
9th,ORDINAL,2021-05-04,5 stars,5,spacex,tweet
b1049,PERSON,2021-05-04,5 stars,5,spacex,tweet
dodge,ORG,2021-05-04,5 stars,5,spacex,tweet
starlink,ORG,2021-05-04,5 stars,5,spacex,tweet
g1ve@away,ORG,2021-05-04,1 star,1,spacex,tweet
india,GPE,2021-05-04,5 stars,5,spacex,tweet
elon,PERSON,2021-05-04,3 stars,3,spacex,tweet
africa,LOC,2021-05-04,3 stars,3,spacex,tweet
4th,ORDINAL,2021-05-04,1 star,1,spacex,tweet
konstantin tsiolkovsky,PERSON,2021-05-04,3 stars,3,spacex,tweet
earth,LOC,2021-05-04,3 stars,3,spacex,tweet
falcon heavy,ORG,2021-05-03,3 stars,3,spacex,tweet
gt gt gt gt musk,PRODUCT,2021-05-03,5 stars,5,spacex,tweet
tesla,ORG,2021-05-03,5 stars,5,spacex,tweet
 now,PRODUCT,2021-05-03,5 stars,5,spacex,tweet
illini soichi ,PERSON,2021-05-02,5 stars,5,spacex,tweet
sh spacex,PERSON,2021-05-02,5 stars,5,spacex,tweet
nas,ORG,2021-05-02,5 stars,5,spacex,tweet
illini soichi,ORG,2021-05-02,5 stars,5,spacex,tweet
elon musk,PERSON,2021-05-02,5 stars,5,spacex,tweet
illini soichi,PERSON,2021-05-02,2 stars,2,spacex,tweet
illini soichi,PERSON,2021-05-02,4 stars,4,spacex,tweet
illini soichi all crews home,ORG,2021-05-02,5 stars,5,spacex,tweet
nasa,ORG,2021-05-02,5 stars,5,spacex,tweet
illini soichi,PERSON,2021-05-02,5 stars,5,spacex,tweet
spacex,ORG,2021-05-02,5 stars,5,spacex,tweet
mercury,ORG,2021-05-02,5 stars,5,spacex,tweet
illini soichi look,ORG,2021-05-02,5 stars,5,spacex,tweet
spacex bloody,PERSON,2021-05-02,5 stars,5,spacex,tweet
illini soichi,PERSON,2021-05-02,5 stars,5,spacex,tweet
spacex,ORG,2021-05-02,5 stars,5,spacex,tweet
nasa,ORG,2021-05-02,5 stars,5,spacex,tweet
spacex,ORG,2021-05-02,5 stars,5,spacex,tweet
illini soichi,ORG,2021-05-02,5 stars,5,spacex,tweet
illini soichi,ORG,2021-05-02,1 star,1,spacex,tweet
illini soichi welcome,ORG,2021-05-02,5 stars,5,spacex,tweet
boeing,ORG,2021-05-02,5 stars,5,spacex,tweet
illini soichi demonstration,ORG,2021-05-02,5 stars,5,spacex,tweet
7 cent,MONEY,2021-05-02,1 star,1,spacex,tweet
5 cent,MONEY,2021-05-02,1 star,1,spacex,tweet
nasa,ORG,2021-05-02,3 stars,3,spacex,tweet
the u s,FAC,2021-05-02,3 stars,3,spacex,tweet
los,GPE,2021-05-02,2 stars,2,spacex,tweet
don,PERSON,2021-05-02,4 stars,4,spacex,tweet
earth,LOC,2021-05-02,4 stars,4,spacex,tweet
viewin history,PERSON,2021-05-02,4 stars,4,spacex,tweet
gt gt ,PRODUCT,2021-05-02,5 stars,5,spacex,tweet
musk7 net,ORG,2021-05-02,5 stars,5,spacex,tweet
th1s btc,PRODUCT,2021-05-02,5 stars,5,spacex,tweet
pog,PERSON,2021-05-02,3 stars,3,spacex,tweet
station resilience,ORG,2021-05-02,5 stars,5,spacex,tweet
crew 1,FAC,2021-05-02,4 stars,4,spacex,tweet
station party,ORG,2021-05-01,5 stars,5,spacex,tweet
texas,GPE,2021-04-29,1 star,1,spacex,tweet
gt gt gt gt cryptoboom,PRODUCT,2021-04-30,5 stars,5,spacex,tweet
gt gt cryptoboom,PRODUCT,2021-04-30,5 stars,5,spacex,tweet
gt gt gt gt cryptoboom,PRODUCT,2021-04-30,5 stars,5,spacex,tweet
don,PERSON,2021-04-29,5 stars,5,spacex,tweet
dj,PERSON,2021-04-29,5 stars,5,spacex,tweet
doge,PRODUCT,2021-04-29,1 star,1,spacex,tweet
ranger,ORG,2021-04-29,1 star,1,spacex,tweet
cia,ORG,2021-04-29,1 star,1,spacex,tweet
mike collins,PERSON,2021-04-29,5 stars,5,spacex,tweet
go falcon 9 go,ORG,2021-04-29,5 stars,5,spacex,tweet
wooo,ORG,2021-04-29,3 stars,3,spacex,tweet
blue origin,ORG,2021-04-29,3 stars,3,spacex,tweet
first,ORDINAL,2021-04-29,4 stars,4,spacex,tweet
first,ORDINAL,2021-04-29,5 stars,5,spacex,tweet
falcon,PERSON,2021-04-29,5 stars,5,spacex,tweet
115th,PRODUCT,2021-04-29,5 stars,5,spacex,tweet
spacex,ORG,2021-04-29,5 stars,5,spacex,tweet
falcon,ORG,2021-04-29,5 stars,5,spacex,tweet
watching tx,FAC,2021-04-29,3 stars,3,spacex,tweet
cali,PERSON,2021-04-29,3 stars,3,spacex,tweet
mars,LOC,2021-04-24,4 stars,4,spacex,tweet
iss,ORG,2021-04-24,1 star,1,spacex,tweet
earth,LOC,2021-04-24,4 stars,4,spacex,tweet
thailand,GPE,2021-04-24,4 stars,4,spacex,tweet
earth,LOC,2021-04-24,5 stars,5,spacex,tweet
station textbook,ORG,2021-04-24,5 stars,5,spacex,tweet
gt gt gt gt www,PRODUCT,2021-04-23,5 stars,5,spacex,tweet
tesla,PERSON,2021-04-23,5 stars,5,spacex,tweet
kimbrough megan hoshide,PERSON,2021-04-23,4 stars,4,spacex,tweet
kimbrough megan hoshide,PERSON,2021-04-23,5 stars,5,spacex,tweet
kimbrough megan hoshide,PERSON,2021-04-23,1 star,1,spacex,tweet
kimbrough megan hoshide,PERSON,2021-04-23,3 stars,3,spacex,tweet
kimbrough megan hoshide hey space x,PERSON,2021-04-23,5 stars,5,spacex,tweet
south africa,GPE,2021-04-23,5 stars,5,spacex,tweet
doge,PERSON,2021-04-23,2 stars,2,spacex,tweet
south miami dade county,GPE,2021-04-23,4 stars,4,spacex,tweet
b1061,NORP,2021-04-23,5 stars,5,spacex,tweet
first,ORDINAL,2021-04-23,4 stars,4,spacex,tweet
the atlantic ocean,LOC,2021-04-23,4 stars,4,spacex,tweet
spacex,ORG,2021-04-23,4 stars,4,spacex,tweet
second,ORDINAL,2021-04-23,4 stars,4,spacex,tweet
second,ORDINAL,2021-04-23,2 stars,2,spacex,tweet
nc,GPE,2021-04-23,4 stars,4,spacex,tweet
tampa,GPE,2021-04-23,5 stars,5,spacex,tweet
gt elon,ORG,2021-04-23,5 stars,5,spacex,tweet
aest,ORG,2021-04-23,5 stars,5,spacex,tweet
b1061 2,PRODUCT,2021-04-23,5 stars,5,spacex,tweet
shane meghan aki,PERSON,2021-04-23,5 stars,5,spacex,tweet
ocisly,ORG,2021-04-23,5 stars,5,spacex,tweet
b1061 2  go,ORG,2021-04-23,5 stars,5,spacex,tweet
falcon,ORG,2021-04-23,5 stars,5,spacex,tweet
thomas,PERSON,2021-04-23,5 stars,5,spacex,tweet
youtube,PERSON,2021-04-23,1 star,1,spacex,tweet
nasa,ORG,2021-04-23,1 star,1,spacex,tweet
youtube,PERSON,2021-04-23,3 stars,3,spacex,tweet
bcoins,PERSON,2021-04-23,5 stars,5,spacex,tweet
jupiter,LOC,2021-04-23,1 star,1,spacex,tweet
titan,ORG,2021-04-23,1 star,1,spacex,tweet
spacex,PERSON,2021-04-23,5 stars,5,spacex,tweet
kimbrough megan hoshide,PERSON,2021-04-23,4 stars,4,spacex,tweet
kimbrough megan hoshide astronauts,PERSON,2021-04-23,5 stars,5,spacex,tweet
kimbrough megan hoshide,PERSON,2021-04-23,3 stars,3,spacex,tweet
kimbrough megan hoshide,PERSON,2021-04-23,3 stars,3,spacex,tweet
kimbrough megan hoshide,PERSON,2021-04-23,5 stars,5,spacex,tweet
station ty,PERSON,2021-04-23,5 stars,5,spacex,tweet
elon musk,PERSON,2021-04-23,5 stars,5,spacex,tweet
the kennedy space center they,FAC,2021-04-23,5 stars,5,spacex,tweet
spacex,ORG,2021-04-23,5 stars,5,spacex,tweet
nasa,ORG,2021-04-23,5 stars,5,spacex,tweet
steve jurczyk,PERSON,2021-04-23,5 stars,5,spacex,tweet
don,PERSON,2021-04-23,5 stars,5,spacex,tweet
richmond va,GPE,2021-04-23,4 stars,4,spacex,tweet
uk,GPE,2021-04-23,5 stars,5,spacex,tweet
spacex,ORG,2021-04-23,5 stars,5,spacex,tweet
cheshire england,LOC,2021-04-23,5 stars,5,spacex,tweet
crew 2,FAC,2021-04-23,5 stars,5,spacex,tweet
3rd,ORDINAL,2021-04-23,5 stars,5,spacex,tweet
falcon,ORG,2021-04-23,5 stars,5,spacex,tweet
dragon ,ORG,2021-04-23,5 stars,5,spacex,tweet
don,PERSON,2021-04-23,2 stars,2,spacex,tweet
megan kimbrough,PERSON,2021-04-22,1 star,1,spacex,tweet
