post,reply,comment,sentiment,score,time_comment,company,channel
More photos of Falcon 9’s launch of Dragon to the Station →,264.0,Station ➖➖➖➖🟥 ➖➖➖🟥🟥🟥 ➖➖➖🟥🟥🟥 ➖➖⬜⬜⬜⬜⬜ ➖➖⬜⬜⬜⬜⬜ ➖🟦⬜⬜🟦⬜⬜🟦 🟦🟦⬜⬜🟦⬜⬜🟦🟦 🟦🟦⬜⬜🟦⬜⬜🟦🟦 🟦🟦⬜⬜🟦⬜⬜🟦🟦 ➖➖⬜⬜⬜⬜⬜ ➖➖⬜⬜⬜⬜⬜ ➖➖🎛🎛🎛🎛🎛 ➖➖➖🎛🎛🎛 ➖🟥🟧🟨🟨🟨🟧🟥 ➖🟥🟧🟧🟨🟧🟥 ➖🟥🟧🟥🟧🟥🟥 ➖➖🟥🟥🟧🟥 ➖➖🟥➖🟥🟥,5 stars,5,2021-08-30,spacex,tweet
More photos of Falcon 9’s launch of Dragon to the Station →,264.0,Station 🔥🔥🔥,5 stars,5,2021-08-30,spacex,tweet
More photos of Falcon 9’s launch of Dragon to the Station →,264.0,Station Quite intriguing how completely masculine rockets are their structure their engineering and even their performance which compares to absolute strength in every degree yet they are so delicately beautiful in my mind 🖤,5 stars,5,2021-08-30,spacex,tweet
More photos of Falcon 9’s launch of Dragon to the Station →,264.0,Station Wow These are some incredible shots Would love to this more often for other launches,5 stars,5,2021-08-30,spacex,tweet
More photos of Falcon 9’s launch of Dragon to the Station →,264.0,Station Wow 😍 I m in love 🚀🐉💕,5 stars,5,2021-08-30,spacex,tweet
More photos of Falcon 9’s launch of Dragon to the Station →,264.0,Station Doesn’t this release like loads of pollution straight into the atmosphere Shouldn’t we be fighting this,1 star,1,2021-08-30,spacex,tweet
Dragon is go for final approach and autonomous docking with the station →,84.0,Station “Science can amuse and fascinate us all but it is engineering that changes the world ” Isaac Asimov,4 stars,4,2021-08-30,spacex,tweet
Dragon is go for final approach and autonomous docking with the station →,84.0,Station Meanwhile is just trying to get their limp d¡ck into actual space,3 stars,3,2021-08-30,spacex,tweet
Dragon is go for final approach and autonomous docking with the station →,84.0,Station People give Falcon and Dragon a hard time but honestly I’m glad they have been as reliable as they are,4 stars,4,2021-08-30,spacex,tweet
Dragon is go for final approach and autonomous docking with the station →,84.0,Station a while ago tweeted that docking with other spaceX rockets would be easier than with the iss so why not launch an interface module to make docking easier automated for future launches,3 stars,3,2021-08-30,spacex,tweet
Dragon is go for final approach and autonomous docking with the station →,84.0,Station So you like dragons Check out these dragon NFTs hatching next week on an open sea near you … for more info on what they’ll look like after hatching Guard your ether treasure today,5 stars,5,2021-08-30,spacex,tweet
Dragon separation confirmed autonomous docking to the station Monday at 11 00 a m EDT,199.0,Station is this part going to land back on earth or is it space debris now,1 star,1,2021-08-29,spacex,tweet
Dragon separation confirmed autonomous docking to the station Monday at 11 00 a m EDT,199.0,Station Have a nice trip 🐉🍀,4 stars,4,2021-08-29,spacex,tweet
Dragon separation confirmed autonomous docking to the station Monday at 11 00 a m EDT,199.0,Station With NFT auction platform You will be able to buy and sell your NFT anytime you like when the platform finally launch Stay tuned and watch out for,5 stars,5,2021-09-01,spacex,tweet
Dragon separation confirmed autonomous docking to the station Monday at 11 00 a m EDT,199.0,Station Good job as usual It is almost boring that you guys are so consistently successful but I know it is not Hey I dare you spend some more time matching this than filing your frivolous law suits,3 stars,3,2021-08-31,spacex,tweet
Dragon separation confirmed autonomous docking to the station Monday at 11 00 a m EDT,199.0,Station While complains and whines and the incredible team just continue to get to work and do it right Actions speak very loudly Well done,5 stars,5,2021-08-29,spacex,tweet
Dragon separation confirmed autonomous docking to the station Monday at 11 00 a m EDT,199.0,Station Why’s the trunk empty Could have let me stowaway,1 star,1,2021-08-29,spacex,tweet
Dragon separation confirmed autonomous docking to the station Monday at 11 00 a m EDT,199.0,Station Orbital sunshine,4 stars,4,2021-08-29,spacex,tweet
Falcon 9’s first stage booster has landed on A Shortfall of Gravitas – first landing on this droneship,205.0,I got a feeling it won’t land in 1 piece,1 star,1,2021-08-29,spacex,tweet
Falcon 9’s first stage booster has landed on A Shortfall of Gravitas – first landing on this droneship,205.0,Falcon 9 landing never old🚀😍,1 star,1,2021-08-29,spacex,tweet
Falcon 9’s first stage booster has landed on A Shortfall of Gravitas – first landing on this droneship,205.0,Congrats 🥳 I made a collage of the first landings on each droneship and landing zone 🚀,4 stars,4,2021-08-29,spacex,tweet
Falcon 9’s first stage booster has landed on A Shortfall of Gravitas – first landing on this droneship,205.0,Beautiful landing of Falcon 9 s booster on ASOG droneship,5 stars,5,2021-08-29,spacex,tweet
Falcon 9’s first stage booster has landed on A Shortfall of Gravitas – first landing on this droneship,205.0,I understand the issues involved with getting a live feed but I’d love to see footage of the landing that’s been recorded and then sent out once the connection has stabilised once more… even if it is a minute or two later or even from plugging in SD card,3 stars,3,2021-08-29,spacex,tweet
Falcon 9’s first stage booster has landed on A Shortfall of Gravitas – first landing on this droneship,205.0,Don t tell me that you can t have a better image quality You are spaceX Not a redneck filming a UFO,1 star,1,2021-08-30,spacex,tweet
Liftoff,347.0,As seen from Vero Beach Florida Congrats,5 stars,5,2021-08-29,spacex,tweet
Liftoff,347.0,Thanks for the live webcast Perfectly timed for Sunday morning coding session of Outer Space Shack my space base building game project,5 stars,5,2021-08-29,spacex,tweet
Liftoff,347.0,i mean they can’t fix there own problems on like history of the new settlers went to America from England onlry for wars and problems for the natives of that land to adapt to and here we are today,1 star,1,2021-08-29,spacex,tweet
Liftoff,347.0,,2 stars,2,2021-08-29,spacex,tweet
Liftoff,347.0,Was this that biggest rocket,1 star,1,2021-08-29,spacex,tweet
Liftoff,347.0,Hi SpaceX I am Clement Geo from India Tamil Nadu I am 13 I am having a request pls take me to moon I want to be a part of Mission dearMoon because I want to be a part of the supreme project but I couldn t register because the registration date is over pls help me It s my dream,5 stars,5,2021-08-30,spacex,tweet
Liftoff,347.0,Good luck 🚀🐉🍀The 23rd cargo resupply mission to the Station will include an investigation into protecting bone health testing a way to monitor crew eye health demonstrating improved dexterity of robots mitigating stress in plants🌱,4 stars,4,2021-08-29,spacex,tweet
Watch Falcon 9 launch Dragon to the station →,102.0,Station Wow can t wait to see the best sci fi movie ever 👽🎥Watch falcon 9 light up the world never grow old🚀🐉Good luck 🍀,5 stars,5,2021-08-29,spacex,tweet
Watch Falcon 9 launch Dragon to the station →,102.0,Station Best of luck this time,1 star,1,2021-08-29,spacex,tweet
Watch Falcon 9 launch Dragon to the station →,102.0,Station Dragon I hope u can enjoy my poem if u have read My daddy s up their too but i know he s not Dead Dragonfly guides me at least that s what they said Because from here to Jupiter I d like to stick around to watch you do what you do here upon the ground,3 stars,3,2021-08-29,spacex,tweet
Watch Falcon 9 launch Dragon to the station →,102.0,Station Doge to the moon,4 stars,4,2021-08-29,spacex,tweet
Watch Falcon 9 launch Dragon to the station →,102.0,Station Good luck 🚀🐉🍀This will mark s 21st launch of the year and the 124th flight of a Falcon 9 rocket since June 2010 🚢@SpaceX’s newest drone ASOG heads to sea for first Falcon 9 booster landing😍,5 stars,5,2021-08-29,spacex,tweet
Watch Falcon 9 launch Dragon to the station →,102.0,Station Let s go,5 stars,5,2021-08-29,spacex,tweet
Watch Falcon 9 launch Dragon to the station →,102.0,Station Grab your coffee☕️and get ready to watch science experiments head to space🚀🐉🍀 The great science fiction movie has begun 🎥👽,5 stars,5,2021-08-29,spacex,tweet
Weather is 80 favorable for this morning’s launch Launch webcast begins in 15 minutes →,105.0,Will be watching from my balcony,5 stars,5,2021-08-29,spacex,tweet
Weather is 80 favorable for this morning’s launch Launch webcast begins in 15 minutes →,105.0,To facilitate the launch of rockets and save fuel you can use additional devices that will accelerate the rocket,4 stars,4,2021-08-29,spacex,tweet
Weather is 80 favorable for this morning’s launch Launch webcast begins in 15 minutes →,105.0,🚀🍀🐉,5 stars,5,2021-08-29,spacex,tweet
Weather is 80 favorable for this morning’s launch Launch webcast begins in 15 minutes →,105.0,Watching from just across the bridge from Titusville Just happened to be in FL for my dad s 80th birthday which happens to be today I m here watching w him tonight,5 stars,5,2021-08-29,spacex,tweet
Weather is 80 favorable for this morning’s launch Launch webcast begins in 15 minutes →,105.0,The drive section of CRS 23 looks more like the Millennium Falcon than a Falcon 9 a beautiful hunk of junk that just keeps flying Go SpaceX,1 star,1,2021-08-29,spacex,tweet
Weather is 80 favorable for this morning’s launch Launch webcast begins in 15 minutes →,105.0,Wauw nice why not build the inner from hemp to have a light and fireprotected shield And then shoot a spaceship through a hyperloop from earth to mars and back with a short time And you could transport the hyperloop with you in the first ships,4 stars,4,2021-08-29,spacex,tweet
Weather is 80 favorable for this morning’s launch Launch webcast begins in 15 minutes →,105.0,Watching with starlink,5 stars,5,2021-08-29,spacex,tweet
Standing down from today’s launch due to weather next launch opportunity is Sunday August 29 at 3 14 a m ET,322.0,if launches continue to be scrubbed by slightly unfavorable weather how do we expect to ever become a multiplanetary species with regular daily scheduled launches,3 stars,3,2021-08-28,spacex,tweet
Standing down from today’s launch due to weather next launch opportunity is Sunday August 29 at 3 14 a m ET,322.0,Okay fine just launch it before Bezos files another lawsuit,3 stars,3,2021-08-28,spacex,tweet
Standing down from today’s launch due to weather next launch opportunity is Sunday August 29 at 3 14 a m ET,322.0,Does anyone know when Starlink will be available in Texas right now it just says that it should be “mid to late 2021 ”,1 star,1,2021-08-28,spacex,tweet
Standing down from today’s launch due to weather next launch opportunity is Sunday August 29 at 3 14 a m ET,322.0,😕,5 stars,5,2021-08-28,spacex,tweet
Standing down from today’s launch due to weather next launch opportunity is Sunday August 29 at 3 14 a m ET,322.0,Can t wait Good luck 🚀🐉🍀This will mark s 21st launch of the year and the 124th flight of a Falcon 9 rocket since June 2010,5 stars,5,2021-08-28,spacex,tweet
Standing down from today’s launch due to weather next launch opportunity is Sunday August 29 at 3 14 a m ET,322.0,Oh no what about the time sensitive science things that needed to be put in as close to launch as possible,2 stars,2,2021-08-28,spacex,tweet
Webcast of Falcon 9 launch of Dragon is now live →,113.0,720p,5 stars,5,2021-08-28,spacex,tweet
Webcast of Falcon 9 launch of Dragon is now live →,113.0,WBHAMLETTE 7000 BEECHCRAFT RAYTHEON AIRCRAFT 4 TEXTRON S THE SON OF DAVID WAYNE DOES UR HEART ❤️❤️ GOOD FLY BEECH HAMLETT STARSHIP ENTERPRISE TO THE MOON,4 stars,4,2021-08-28,spacex,tweet
Webcast of Falcon 9 launch of Dragon is now live →,113.0,Good luck 🚀🐉🍀The 23rd cargo resupply mission to the Station will include an investigation into protecting bone health testing a way to monitor crew eye health demonstrating improved dexterity of robots mitigating stress in plants🌱,4 stars,4,2021-08-28,spacex,tweet
Webcast of Falcon 9 launch of Dragon is now live →,113.0,Dragon that need to be delivered to ISS is like the space equivalent of Santa Claus Anyway Just launch it ASAP before Bezos flies an another Lawsuit,1 star,1,2021-08-28,spacex,tweet
Webcast of Falcon 9 launch of Dragon is now live →,113.0,I’ve missed you,1 star,1,2021-08-28,spacex,tweet
Webcast of Falcon 9 launch of Dragon is now live →,113.0,God damn it’s beautiful 🤩 amazing 🥲 wish in the future I get my deliveries by this to my moon home lol 😝,5 stars,5,2021-08-28,spacex,tweet
Webcast of Falcon 9 launch of Dragon is now live →,113.0,It s sorta funny that Falcon 9 launches to the ISS have become bit unexciting now I got excited a bit thinking it was about booster 4 Anyway Godspeed,3 stars,3,2021-08-28,spacex,tweet
Webcast of Falcon 9 launch of Dragon is now live →,113.0,Elon we offer our technology for the construction of orbital stations that is fundamentally different from the current standards You can get an orbital module with a volume of more than 2500 cubic m for 1 launch of Falcon9 or 38000 cubic m of Starship but without equipment,5 stars,5,2021-08-28,spacex,tweet
T 1 hour until Falcon 9 launch of Dragon Team is keeping an eye on weather which is 40 favorable →,100.0,Elon we offer our technology for the construction of orbital stations that is fundamentally different from the current standards You can get an orbital module with a volume of more than 2500 cubic m for 1 launch of Falcon9 or 38000 cubic m of Starship but without equipment,5 stars,5,2021-08-28,spacex,tweet
T 1 hour until Falcon 9 launch of Dragon Team is keeping an eye on weather which is 40 favorable →,100.0,The good thing with BO is that they make sure we get competition in the space and hopefully no one will solely dominate space The danger with one player is that in the long run they can inflate prices Absolute power corrupts absolutely,3 stars,3,2021-08-28,spacex,tweet
T 1 hour until Falcon 9 launch of Dragon Team is keeping an eye on weather which is 40 favorable →,100.0,Good luck SpaceX I hope the weather becomes more favorable for the launch,4 stars,4,2021-08-28,spacex,tweet
T 1 hour until Falcon 9 launch of Dragon Team is keeping an eye on weather which is 40 favorable →,100.0,Fingers crossed 🤞🏼 🚀,1 star,1,2021-08-28,spacex,tweet
T 1 hour until Falcon 9 launch of Dragon Team is keeping an eye on weather which is 40 favorable →,100.0,,2 stars,2,2021-08-28,spacex,tweet
T 1 hour until Falcon 9 launch of Dragon Team is keeping an eye on weather which is 40 favorable →,100.0,Goodspeed SpaceX The crews at the ISS needs those cheese and veggies,4 stars,4,2021-08-28,spacex,tweet
T 1 hour until Falcon 9 launch of Dragon Team is keeping an eye on weather which is 40 favorable →,100.0,Buy starl and you will get all things if you can buy starl go 1000XXX！！！！,5 stars,5,2021-08-28,spacex,tweet
T 1 hour until Falcon 9 launch of Dragon Team is keeping an eye on weather which is 40 favorable →,100.0,,2 stars,2,2021-08-28,spacex,tweet
Static fire test complete – targeting Saturday August 28 at 3 37 a m EDT for Falcon 9 launch of Dragon’s 23rd cargo resupply mission to the station →,1756.0,Station,4 stars,4,2021-08-26,spacex,tweet
Static fire test complete – targeting Saturday August 28 at 3 37 a m EDT for Falcon 9 launch of Dragon’s 23rd cargo resupply mission to the station →,1756.0,Station Don‘t forget to take a cat with you Space suit fits and is ready for duty Made in Germany Everybody already knows our doxxed CEO and the doxxed cat behind our story USDT and much more is on our roadmap sarahxz,5 stars,5,2021-08-26,spacex,tweet
Static fire test complete – targeting Saturday August 28 at 3 37 a m EDT for Falcon 9 launch of Dragon’s 23rd cargo resupply mission to the station →,1756.0,Station,4 stars,4,2021-08-26,spacex,tweet
Static fire test complete – targeting Saturday August 28 at 3 37 a m EDT for Falcon 9 launch of Dragon’s 23rd cargo resupply mission to the station →,1756.0,Station,4 stars,4,2021-08-26,spacex,tweet
Static fire test complete – targeting Saturday August 28 at 3 37 a m EDT for Falcon 9 launch of Dragon’s 23rd cargo resupply mission to the station →,1756.0,Station Hey since when is launch vehicle LOX medical grade Or is it the same supply chain with medical being refined downstream LOX is easy and cheap to make Should be done on site where not already anyway,3 stars,3,2021-08-26,spacex,tweet
Static fire test complete – targeting Saturday August 28 at 3 37 a m EDT for Falcon 9 launch of Dragon’s 23rd cargo resupply mission to the station →,1756.0,Station,4 stars,4,2021-08-26,spacex,tweet
Static fire test complete – targeting Saturday August 28 at 3 37 a m EDT for Falcon 9 launch of Dragon’s 23rd cargo resupply mission to the station →,1756.0,Station Wow such an inspirational message it is I wish all the engineering team across the world set their target like this this change Elon is going to create tunnel of thoughts to think beyond Earth Mars and then solar system,5 stars,5,2021-08-26,spacex,tweet
Starship on the orbital launch pad,942.0,👀,5 stars,5,2021-08-26,spacex,tweet
Starship on the orbital launch pad,942.0,t you want to have a lamp We go to the moon with the pig and then to the new planet,5 stars,5,2021-08-26,spacex,tweet
Starship on the orbital launch pad,942.0,Find a nuclear power source Don’t pollute On one side you have a zero emission electric car amp on the other side you have these massive rockets polluting,1 star,1,2021-08-07,spacex,tweet
Starship on the orbital launch pad,942.0,LETS GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,5 stars,5,2021-08-28,spacex,tweet
Starship on the orbital launch pad,942.0,let s go guys🚀🚀🚀🚀🚀,5 stars,5,2021-08-09,spacex,tweet
Starship on the orbital launch pad,942.0,How are the two joined together for launch Does the person in the basket have to join them,3 stars,3,2021-08-06,spacex,tweet
Starship on the orbital launch pad,942.0,This material can be used to make a drum or even a rocket 😉,5 stars,5,2021-08-06,spacex,tweet
Starship on the orbital launch pad,942.0,Replicating the dream,5 stars,5,2021-08-31,spacex,tweet
29 Raptor engines and 4 grid fins have been installed on Super Heavy ahead of first orbital flight,4820.0,Holy Raptors 🦖🦖🌚🌚,5 stars,5,2021-08-03,spacex,tweet
29 Raptor engines and 4 grid fins have been installed on Super Heavy ahead of first orbital flight,4820.0,Battlestar Galactica,4 stars,4,2021-08-03,spacex,tweet
29 Raptor engines and 4 grid fins have been installed on Super Heavy ahead of first orbital flight,4820.0,This is simply ridiculous 😍 I can’t believe we’re living in this new era of monsters,1 star,1,2021-08-03,spacex,tweet
29 Raptor engines and 4 grid fins have been installed on Super Heavy ahead of first orbital flight,4820.0,Wish you a successful orbital flight,4 stars,4,2021-08-03,spacex,tweet
29 Raptor engines and 4 grid fins have been installed on Super Heavy ahead of first orbital flight,4820.0,holy raptors,5 stars,5,2021-08-03,spacex,tweet
29 Raptor engines and 4 grid fins have been installed on Super Heavy ahead of first orbital flight,4820.0,So is it safe to assume that those grid fins are test articles only and not representative of the final design,3 stars,3,2021-08-03,spacex,tweet
29 Raptor engines and 4 grid fins have been installed on Super Heavy ahead of first orbital flight,4820.0,Why do you need 29 engines Can t you do the same with 4 engines to reduce complexity and probability of failure Is there a rational for it Saturn V used five F 1 engines,1 star,1,2021-08-03,spacex,tweet
29 Raptor engines and 4 grid fins have been installed on Super Heavy ahead of first orbital flight,4820.0,here we can see SpaceX jumping the gun again in a vain hope of having the first fully fitted super heavy booster work perfectly the first time you all can t honestly tell me you expect all 29 of those raptors to work perfectly first try what happened to being realistic,5 stars,5,2021-08-03,spacex,tweet
100th build of a Raptor engine complete,7761.0,DOGE ETH Rad,5 stars,5,2021-07-28,spacex,tweet
100th build of a Raptor engine complete,7761.0,I just realized y’all actually have to make shit to go to space,1 star,1,2021-07-26,spacex,tweet
100th build of a Raptor engine complete,7761.0,100th build of a Raptor engine complete 👉 And we re ready to go to the moon 💦🚀—— gt 🌙,5 stars,5,2021-07-28,spacex,tweet
100th build of a Raptor engine complete,7761.0,All my DOGE will be distributed among everyone who takes part in this event You can find all the information on the website 1 Like amp Retweet 2 Join Here spacewalk fund✭,5 stars,5,2021-07-26,spacex,tweet
100th build of a Raptor engine complete,7761.0,Dec0de and receive C0 NS at,5 stars,5,2021-07-27,spacex,tweet
100th build of a Raptor engine complete,7761.0,Raptor engines will power your rockets but Raptor will take you beyond the moon You know you wanna love token especially with their up coming and coming out,4 stars,4,2021-07-29,spacex,tweet
100th build of a Raptor engine complete,7761.0,Zach Why were the pictures taken many hours apart,1 star,1,2021-07-29,spacex,tweet
100th build of a Raptor engine complete,7761.0,our father fuck bank invest in dogecoin,5 stars,5,2021-07-28,spacex,tweet
100th build of a Raptor engine complete,7761.0,Do you or your family like Pokemon We have a full deck of physical NFTs based on you with your name on it All you have to do is like and retweet this post What other NFTs send you physical cards,1 star,1,2021-07-28,spacex,tweet
NASA has selected Falcon Heavy to fly Europa Clipper Launching in October 2024 this interplanetary mission will study whether Jupiter s icy moon Europa could have conditions suitable for life,4565.0,,2 stars,2,2021-07-23,spacex,tweet
NASA has selected Falcon Heavy to fly Europa Clipper Launching in October 2024 this interplanetary mission will study whether Jupiter s icy moon Europa could have conditions suitable for life,4565.0,We’re one step closer to exploring Europa 🚀,5 stars,5,2021-07-23,spacex,tweet
NASA has selected Falcon Heavy to fly Europa Clipper Launching in October 2024 this interplanetary mission will study whether Jupiter s icy moon Europa could have conditions suitable for life,4565.0,Elon ready to go to space,5 stars,5,2021-07-23,spacex,tweet
NASA has selected Falcon Heavy to fly Europa Clipper Launching in October 2024 this interplanetary mission will study whether Jupiter s icy moon Europa could have conditions suitable for life,4565.0,,2 stars,2,2021-07-23,spacex,tweet
NASA has selected Falcon Heavy to fly Europa Clipper Launching in October 2024 this interplanetary mission will study whether Jupiter s icy moon Europa could have conditions suitable for life,4565.0,What is Space X Do you know SADBABY 🚀🚀🚀🚀,1 star,1,2021-07-23,spacex,tweet
NASA has selected Falcon Heavy to fly Europa Clipper Launching in October 2024 this interplanetary mission will study whether Jupiter s icy moon Europa could have conditions suitable for life,4565.0,Imagine if elon was as committed to ending hunger or to providing education to third world countries as he is to making life multiplanitory it wouldn t be as sexy,2 stars,2,2021-07-23,spacex,tweet
NASA has selected Falcon Heavy to fly Europa Clipper Launching in October 2024 this interplanetary mission will study whether Jupiter s icy moon Europa could have conditions suitable for life,4565.0,Congratulations🥳 SpaceX is the best👍 The deal also saves NASA about 2 billion,5 stars,5,2021-07-23,spacex,tweet
Dragon has autonomously re docked with the Station,3407.0,Station Token Try this on for size We will go to the moon with you,5 stars,5,2021-07-22,spacex,tweet
Dragon has autonomously re docked with the Station,3407.0,Station It s Time To Rise,3 stars,3,2021-07-22,spacex,tweet
Dragon has autonomously re docked with the Station,3407.0,Station The next destination is the Moon Who will be the winner Or Lanceria Lanc is already the winner,4 stars,4,2021-07-22,spacex,tweet
Dragon has autonomously re docked with the Station,3407.0,Station Try this 😂😂,5 stars,5,2021-07-21,spacex,tweet
Dragon has autonomously re docked with the Station,3407.0,Station man you two are lit 🔥,1 star,1,2021-07-21,spacex,tweet
Dragon has autonomously re docked with the Station,3407.0,Station,4 stars,4,2021-07-21,spacex,tweet
Dragon has autonomously re docked with the Station,3407.0,Station Waiting for to say Doge Coin To the moon in the live stream,5 stars,5,2021-07-21,spacex,tweet
Dragon has separated from the Harmony module s forward facing port and moved away from the Station Next stop the space facing port,208.0,Station Thanx for blowing billions of £ in the orbit while climate goes crazy US is burning and germany flooded 😔,1 star,1,2021-07-21,spacex,tweet
Dragon has separated from the Harmony module s forward facing port and moved away from the Station Next stop the space facing port,208.0,Station,4 stars,4,2021-07-21,spacex,tweet
Dragon has separated from the Harmony module s forward facing port and moved away from the Station Next stop the space facing port,208.0,Station This is just the beginning Nothing is impossible for him,5 stars,5,2021-07-21,spacex,tweet
Dragon is go for its port relocation flight around the Station,176.0,Station Why does Dragon need to relocate Could it not have parked in that spot in the first place Or could not the incoming ship park in that spot I get that the port is on the other side of ISS but you ve got to do the manoeuvre round either way why do it as a separate flight,3 stars,3,2021-07-21,spacex,tweet
Dragon is go for its port relocation flight around the Station,176.0,Station A1rdrop right there at tesfest net,5 stars,5,2021-07-21,spacex,tweet
Dragon is go for its port relocation flight around the Station,176.0,Station Meanwhile in real space…,5 stars,5,2021-07-21,spacex,tweet
Dragon is go for its port relocation flight around the Station,176.0,Station why do 4 astronauts have to be on board to relocate the dragon,1 star,1,2021-07-21,spacex,tweet
Dragon is go for its port relocation flight around the Station,176.0,Station 4 guys on board to change parking spaces They must have cabin fever up there I gotta go move the car SHOTGUN,1 star,1,2021-07-21,spacex,tweet
Dragon is go for its port relocation flight around the Station,176.0,Station 👏👏🙂,5 stars,5,2021-07-21,spacex,tweet
First static fire test of Super Heavy booster,4650.0,Looks super heavy,3 stars,3,2021-07-23,spacex,tweet
First static fire test of Super Heavy booster,4650.0,Best coin,5 stars,5,2021-07-20,spacex,tweet
First static fire test of Super Heavy booster,4650.0,Looks cool Are already finished with their test for the water drive The rocket will launch on August 16 From 1 December you can get the starts also with Crypto,4 stars,4,2021-07-21,spacex,tweet
First static fire test of Super Heavy booster,4650.0,SADBABY❤ 1 Token Go to the Moon 2021🚀,5 stars,5,2021-07-20,spacex,tweet
First static fire test of Super Heavy booster,4650.0,Am I the only one who sees Einstein’s head on the right hand side,3 stars,3,2021-07-20,spacex,tweet
First static fire test of Super Heavy booster,4650.0,I wanna to go to Mars 😩,5 stars,5,2021-07-20,spacex,tweet
First static fire test of Super Heavy booster,4650.0,🚀🚀🚀,5 stars,5,2021-07-20,spacex,tweet
